ForecastName,SnapshotTextDate,OwnerName,SmallPhotoUrl,ForecastCategory,ProjectedMultiplier,TotalAttainment,AttainmentMultiplier,ForecastAmount,ForecastMultiplier,LastProcessedDate,Manager,OwnerId,PeriodEndDate,PeriodStartDate,PeriodAuxDate,PeriodName,Role,SnapshotDate,SnapshotName
75 for Closed Erica,2021-04-09,Mary Eng,https://c.gus.content.force.com/profilephoto/729B0000000Pvxj/T,Closed,1,75,1,"$457,500.00",1,2021-06-09,,005B0000006zLGfIAM,2021-06-13,2021-05-14,2021-06-09,Current Month,VP of Sales,2021-04-09,2 Months Ago
80 for Closed Erica,2021-05-10,Nicole Bowers,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Commit,1,80,1,"$500,000.00",1,2021-06-09,Dean Pierce,,2021-05-13,2021-04-14,2021-04-17,1 Month Ago,Central Sales,2021-05-10,1 Month Ago
15 for Pipeline,2021-06-09,Beth Malone,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Pipeline,1,15,1,"$78,000.00",1,2021-06-09,Gary Hill,,2021-03-13,2021-02-14,2021-02-20,3 Months Ago,West Sales,2021-06-09,Today
25 for Best Case,2021-03-12,Gary Hill,https://c.gus.content.force.com/profilephoto/729B0000000PvxE/T,Best Case,1,25,1,"$130,000.00",1,2021-06-09,Mary Eng,005B0000006zLFqIAM,2021-01-13,2020-12-14,2020-12-17,5 Months Ago,RVP West,2021-03-12,3 Months Ago
15 for Pipeline,2021-05-10,Jeremiah Ballard,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Pipeline,1,15,1,"$78,000.00",1,2021-06-09,Brian Chandler,,2021-04-13,2021-03-14,2021-03-23,2 Months Ago,East Sales,2021-05-10,1 Month Ago
25 for Best Case,2021-06-09,Patricia Shepard,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Best Case,1,25,1,"$130,000.00",1,2021-06-09,Brian Chandler,,2021-02-13,2021-01-14,2021-01-30,4 Months Ago,East Sales,2021-06-09,Today
75 for Closed Erica,2021-04-09,Erica Fletcher,https://c.gus.content.force.com/profilephoto/729B0000000Pvvb/T,Closed,0.82,75,0.85,"$457,500.00",0.75,2021-06-09,Mary Eng,005B0000006zLBdIAM,2021-02-13,2021-01-14,2021-02-02,4 Months Ago,RVP Central,2021-04-09,2 Months Ago
15 for Pipeline,2021-03-12,Karen Mccann,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Commit,1,15,1,"$78,000.00",1,2021-06-09,Gary Hill,,2021-03-13,2021-02-14,2021-03-13,3 Months Ago,West Sales,2021-03-12,3 Months Ago
25 for Best Case,2021-06-09,Kylie Cannon,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Best Case,1,25,1,"$130,000.00",1,2021-06-09,Dean Pierce,,2021-06-13,2021-05-14,2021-06-09,Current Month,Central Sales,2021-06-09,Today
85 for Closed Erica,2021-04-09,Rebecca Espinoza,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Commit,1,85,1,"$531,250.00",1,2021-06-09,Gary Hill,,2021-05-13,2021-04-14,2021-05-05,1 Month Ago,West Sales,2021-04-09,2 Months Ago
90 for Closed,2021-03-12,Austin Le,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,1,90,1,"$468,000.00",1,2021-06-09,Brian Chandler,,2021-01-13,2020-12-14,2020-12-27,5 Months Ago,East Sales,2021-03-12,3 Months Ago
15 for Pipeline,2021-05-10,Elizabeth Lewis,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Pipeline,1,15,1,"$78,000.00",1,2021-06-09,Dean Pierce,,2021-04-13,2021-03-14,2021-03-23,2 Months Ago,Central Sales,2021-05-10,1 Month Ago
25 for Best Case,2021-06-09,Kylie Cannon,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Best Case,1,25,1,"$130,000.00",1,2021-06-09,Dean Pierce,,2021-04-13,2021-03-14,2021-03-17,2 Months Ago,Central Sales,2021-06-09,Today
50 for Commit Erica,2021-04-09,Karen Mccann,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Commit,1,50,1,"$305,000.00",1,2021-06-09,Gary Hill,,2021-01-13,2020-12-14,2021-01-02,5 Months Ago,West Sales,2021-04-09,2 Months Ago
63 for Commit Erica,2021-05-10,Ebony Ali,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,1,63,1,"$384,300.00",1,2021-06-09,Gary Hill,,2021-03-13,2021-02-14,2021-03-07,3 Months Ago,West Sales,2021-05-10,1 Month Ago
15 for Pipeline,2021-03-12,Patricia Shepard,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Pipeline,1,15,1,"$78,000.00",1,2021-06-09,Brian Chandler,,2021-05-13,2021-04-14,2021-05-11,1 Month Ago,East Sales,2021-03-12,3 Months Ago
15 for Pipeline,2021-03-12,Jane Martin,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Pipeline,1,15,1,"$78,000.00",1,2021-06-09,Dean Pierce,,2021-02-13,2021-01-14,2021-01-16,4 Months Ago,Central Sales,2021-03-12,3 Months Ago
25 for Best Case,2021-06-09,Brian Chandler,https://c.gus.content.force.com/profilephoto/729B0000000Pvwt/T,Best Case,1,25,1,"$130,000.00",1,2021-06-09,Mary Eng,005B0000006zLFOIA2,2021-06-13,2021-05-14,2021-06-09,Current Month,RVP East,2021-06-09,Today
55 for Commit,2021-05-10,Nicole Bowers,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Commit,1,55,1,"$286,000.00",1,2021-06-09,Dean Pierce,,2021-04-13,2021-03-14,2021-03-15,2 Months Ago,Central Sales,2021-05-10,1 Month Ago
55 for Commit Erica,2021-04-09,Oscar Anthony,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,1,55,1,"$335,500.00",1,2021-06-09,Brian Chandler,,2021-06-13,2021-05-14,2021-06-09,Current Month,East Sales,2021-04-09,2 Months Ago
80 for Closed,2021-03-12,Gary Hill,https://c.gus.content.force.com/profilephoto/729B0000000PvxE/T,Closed,1,80,1,"$416,000.00",1,2021-06-09,Mary Eng,005B0000006zLFqIAM,2021-03-13,2021-02-14,2021-03-08,3 Months Ago,RVP West,2021-03-12,3 Months Ago
93 for Closed Erica,2021-04-09,Devin Washington,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Commit,1,93,1,"$581,250.00",1,2021-06-09,Brian Chandler,,2021-02-13,2021-01-14,2021-01-23,4 Months Ago,East Sales,2021-04-09,2 Months Ago
25 for Best Case,2021-05-10,Jeremiah Ballard,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Best Case,1,25,1,"$130,000.00",1,2021-06-09,Brian Chandler,,2021-01-13,2020-12-14,2020-12-21,5 Months Ago,East Sales,2021-05-10,1 Month Ago
15 for Pipeline,2021-06-09,Amy Thomas,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Pipeline,1,15,1,"$78,000.00",1,2021-06-09,Gary Hill,,2021-05-13,2021-04-14,2021-04-18,1 Month Ago,West Sales,2021-06-09,Today
15 for Pipeline,2021-03-12,Beth Malone,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Pipeline,1,15,1,"$78,000.00",1,2021-06-09,Gary Hill,,2021-04-13,2021-03-14,2021-03-28,2 Months Ago,West Sales,2021-03-12,3 Months Ago
25 for Best Case,2021-06-09,Erica Fletcher,https://c.gus.content.force.com/profilephoto/729B0000000Pvvb/T,Best Case,0.82,25,0.85,"$130,000.00",0.75,2021-06-09,Mary Eng,005B0000006zLBdIAM,2021-01-13,2020-12-14,2021-01-12,5 Months Ago,RVP Central,2021-06-09,Today
25 for Best Case,2021-05-10,Mary Eng,https://c.gus.content.force.com/profilephoto/729B0000000Pvxj/T,Closed,1,25,1,"$130,000.00",1,2021-06-09,,005B0000006zLGfIAM,2021-06-13,2021-05-14,2021-06-09,Current Month,VP of Sales,2021-05-10,1 Month Ago
44 for Commit Erica,2021-04-09,Dean Pierce,https://c.gus.content.force.com/profilephoto/729B0000000IUx9/T,Commit,1,44,1,"$268,400.00",1,2021-06-09,Mary Eng,005B0000006zLDrIAM,2021-05-13,2021-04-14,2021-04-17,1 Month Ago,RVP Central,2021-04-09,2 Months Ago
85 for Closed,2021-04-09,Lucas Baxter,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,1,85,1,"$442,000.00",1,2021-06-09,Brian Chandler,,2021-03-13,2021-02-14,2021-02-17,3 Months Ago,East Sales,2021-04-09,2 Months Ago
50 for Commit,2021-06-09,Amy Johnson,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Commit,1,50,1,"$260,000.00",1,2021-06-09,Gary Hill,,2021-02-13,2021-01-14,2021-02-06,4 Months Ago,West Sales,2021-06-09,Today
15 for Pipeline,2021-03-12,Austin Le,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Pipeline,1,15,1,"$78,000.00",1,2021-06-09,Brian Chandler,,2021-02-13,2021-01-14,2021-02-08,4 Months Ago,East Sales,2021-03-12,3 Months Ago
25 for Best Case,2021-05-10,Lucas Baxter,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Best Case,1,25,1,"$130,000.00",1,2021-06-09,Brian Chandler,,2021-03-13,2021-02-14,2021-02-28,3 Months Ago,East Sales,2021-05-10,1 Month Ago
63 for Commit,2021-05-10,Devin Washington,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Commit,1,63,1,"$327,600.00",1,2021-06-09,Brian Chandler,,2021-06-13,2021-05-14,2021-06-09,Current Month,East Sales,2021-05-10,1 Month Ago
25 for Best Case,2021-06-09,Amy Johnson,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Best Case,1,25,1,"$130,000.00",1,2021-06-09,Gary Hill,,2021-01-13,2020-12-14,2020-12-21,5 Months Ago,West Sales,2021-06-09,Today
15 for Pipeline,2021-04-09,Amy Thomas,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Pipeline,1,15,1,"$78,000.00",1,2021-06-09,Gary Hill,,2021-05-13,2021-04-14,2021-04-17,1 Month Ago,West Sales,2021-04-09,2 Months Ago
90 for Closed,2021-03-12,Oscar Anthony,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,1,90,1,"$468,000.00",1,2021-06-09,Brian Chandler,,2021-04-13,2021-03-14,2021-03-15,2 Months Ago,East Sales,2021-03-12,3 Months Ago
85 for Closed Erica,2021-03-12,Patricia Shepard,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Commit,1,85,1,"$531,250.00",1,2021-06-09,Brian Chandler,,2021-02-13,2021-01-14,2021-02-13,4 Months Ago,East Sales,2021-03-12,3 Months Ago
25 for Best Case,2021-04-09,Jeremiah Ballard,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Best Case,1,25,1,"$130,000.00",1,2021-06-09,Brian Chandler,,2021-01-13,2020-12-14,2020-12-29,5 Months Ago,East Sales,2021-04-09,2 Months Ago
93 for Closed Erica,2021-06-09,Erica Fletcher,https://c.gus.content.force.com/profilephoto/729B0000000Pvvb/T,Closed,0.82,93,0.85,"$581,250.00",0.75,2021-06-09,Mary Eng,005B0000006zLBdIAM,2021-04-13,2021-03-14,2021-04-11,2 Months Ago,RVP Central,2021-06-09,Today
15 for Pipeline,2021-05-10,Elizabeth Lewis,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Pipeline,1,15,1,"$78,000.00",1,2021-06-09,Dean Pierce,,2021-05-13,2021-04-14,2021-04-21,1 Month Ago,Central Sales,2021-05-10,1 Month Ago
15 for Pipeline,2021-06-09,Jane Martin,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Pipeline,1,15,1,"$78,000.00",1,2021-06-09,Dean Pierce,,2021-06-13,2021-05-14,2021-06-09,Current Month,Central Sales,2021-06-09,Today
70 for Closed Erica,2021-05-10,Mary Eng,https://c.gus.content.force.com/profilephoto/729B0000000Pvxj/T,Closed,1,70,1,"$427,000.00",1,2021-06-09,,005B0000006zLGfIAM,2021-03-13,2021-02-14,2021-02-16,3 Months Ago,VP of Sales,2021-05-10,1 Month Ago
25 for Best Case,2021-03-12,Ebony Ali,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Best Case,1,25,1,"$130,000.00",1,2021-06-09,Gary Hill,,2021-06-13,2021-05-14,2021-06-09,Current Month,West Sales,2021-03-12,3 Months Ago
50 for Commit,2021-04-09,Kylie Cannon,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Commit,1,50,1,"$260,000.00",1,2021-06-09,Dean Pierce,,2021-02-13,2021-01-14,2021-01-20,4 Months Ago,Central Sales,2021-04-09,2 Months Ago
44 for Commit,2021-04-09,Rebecca Espinoza,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,1,44,1,"$228,800.00",1,2021-06-09,Gary Hill,,2021-03-13,2021-02-14,2021-02-18,3 Months Ago,West Sales,2021-04-09,2 Months Ago
15 for Pipeline,2021-06-09,Nicole Bowers,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Pipeline,1,15,1,"$78,000.00",1,2021-06-09,Dean Pierce,,2021-05-13,2021-04-14,2021-04-30,1 Month Ago,Central Sales,2021-06-09,Today
63 for Commit Erica,2021-05-10,Brian Chandler,https://c.gus.content.force.com/profilephoto/729B0000000Pvwt/T,Commit,1,63,1,"$384,300.00",1,2021-06-09,Mary Eng,005B0000006zLFOIA2,2021-04-13,2021-03-14,2021-04-06,2 Months Ago,RVP East,2021-05-10,1 Month Ago
25 for Best Case,2021-03-12,Beth Malone,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Best Case,1,25,1,"$130,000.00",1,2021-06-09,Gary Hill,,2021-01-13,2020-12-14,2021-01-07,5 Months Ago,West Sales,2021-03-12,3 Months Ago
55 for Commit,2021-03-12,Dean Pierce,https://c.gus.content.force.com/profilephoto/729B0000000IUx9/T,Closed,1,55,1,"$286,000.00",1,2021-06-09,Mary Eng,005B0000006zLDrIAM,2021-03-13,2021-02-14,2021-03-02,3 Months Ago,RVP Central,2021-03-12,3 Months Ago
75 for Closed Erica,2021-05-10,Gary Hill,https://c.gus.content.force.com/profilephoto/729B0000000PvxE/T,Commit,1,75,1,"$457,500.00",1,2021-06-09,Mary Eng,005B0000006zLFqIAM,2021-05-13,2021-04-14,2021-04-30,1 Month Ago,RVP West,2021-05-10,1 Month Ago
15 for Pipeline,2021-06-09,Karen Mccann,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Pipeline,1,15,1,"$78,000.00",1,2021-06-09,Gary Hill,,2021-02-13,2021-01-14,2021-02-13,4 Months Ago,West Sales,2021-06-09,Today
25 for Best Case,2021-04-09,Jane Martin,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Best Case,1,25,1,"$130,000.00",1,2021-06-09,Dean Pierce,,2021-01-13,2020-12-14,2021-01-04,5 Months Ago,Central Sales,2021-04-09,2 Months Ago
90 for Closed Erica,2021-03-12,Lucas Baxter,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,1,90,1,"$562,500.00",1,2021-06-09,Brian Chandler,,2021-06-13,2021-05-14,2021-06-09,Current Month,East Sales,2021-03-12,3 Months Ago
50 for Commit Erica,2021-04-09,Karen Mccann,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Commit,1,50,1,"$305,000.00",1,2021-06-09,Gary Hill,,2021-04-13,2021-03-14,2021-04-09,2 Months Ago,West Sales,2021-04-09,2 Months Ago
15 for Pipeline,2021-06-09,Jeremiah Ballard,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Pipeline,1,15,1,"$78,000.00",1,2021-06-09,Brian Chandler,,2021-01-13,2020-12-14,2020-12-27,5 Months Ago,East Sales,2021-06-09,Today
25 for Best Case,2021-05-10,Dean Pierce,https://c.gus.content.force.com/profilephoto/729B0000000IUx9/T,Best Case,1,25,1,"$130,000.00",1,2021-06-09,Mary Eng,005B0000006zLDrIAM,2021-05-13,2021-04-14,2021-05-11,1 Month Ago,RVP Central,2021-05-10,1 Month Ago
93 for Closed Erica,2021-05-10,Kylie Cannon,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,1,93,1,"$581,250.00",1,2021-06-09,Dean Pierce,,2021-03-13,2021-02-14,2021-03-01,3 Months Ago,Central Sales,2021-05-10,1 Month Ago
44 for Commit Erica,2021-04-09,Gary Hill,https://c.gus.content.force.com/profilephoto/729B0000000PvxE/T,Commit,1,44,1,"$268,400.00",1,2021-06-09,Mary Eng,005B0000006zLFqIAM,2021-02-13,2021-01-14,2021-01-29,4 Months Ago,RVP West,2021-04-09,2 Months Ago
15 for Pipeline,2021-03-12,Ebony Ali,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Pipeline,1,15,1,"$78,000.00",1,2021-06-09,Gary Hill,,2021-06-13,2021-05-14,2021-06-09,Current Month,West Sales,2021-03-12,3 Months Ago
25 for Best Case,2021-06-09,Nicole Bowers,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Best Case,1,25,1,"$130,000.00",1,2021-06-09,Dean Pierce,,2021-04-13,2021-03-14,2021-03-28,2 Months Ago,Central Sales,2021-06-09,Today
25 for Best Case,2021-05-10,Patricia Shepard,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,1,25,1,"$130,000.00",1,2021-06-09,Brian Chandler,,2021-01-13,2020-12-14,2020-12-31,5 Months Ago,East Sales,2021-05-10,1 Month Ago
15 for Pipeline,2021-04-09,Amy Johnson,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Pipeline,1,15,1,"$78,000.00",1,2021-06-09,Gary Hill,,2021-04-13,2021-03-14,2021-04-01,2 Months Ago,West Sales,2021-04-09,2 Months Ago
80 for Closed,2021-03-12,Amy Thomas,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Commit,1,80,1,"$416,000.00",1,2021-06-09,Gary Hill,,2021-06-13,2021-05-14,2021-06-09,Current Month,West Sales,2021-03-12,3 Months Ago
25 for Best Case,2021-06-09,Rebecca Espinoza,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Best Case,1,25,1,"$130,000.00",1,2021-06-09,Gary Hill,,2021-05-13,2021-04-14,2021-05-06,1 Month Ago,West Sales,2021-06-09,Today
55 for Commit Erica,2021-04-09,Mary Eng,https://c.gus.content.force.com/profilephoto/729B0000000Pvxj/T,Closed,1,55,1,"$335,500.00",1,2021-06-09,,005B0000006zLGfIAM,2021-02-13,2021-01-14,2021-01-22,4 Months Ago,VP of Sales,2021-04-09,2 Months Ago
25 for Best Case,2021-06-09,Brian Chandler,https://c.gus.content.force.com/profilephoto/729B0000000Pvwt/T,Best Case,1,25,1,"$130,000.00",1,2021-06-09,Mary Eng,005B0000006zLFOIA2,2021-03-13,2021-02-14,2021-02-18,3 Months Ago,RVP East,2021-06-09,Today
93 for Closed,2021-05-10,Austin Le,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Commit,1,93,1,"$483,600.00",1,2021-06-09,Brian Chandler,,2021-06-13,2021-05-14,2021-06-09,Current Month,East Sales,2021-05-10,1 Month Ago
15 for Pipeline,2021-03-12,Erica Fletcher,https://c.gus.content.force.com/profilephoto/729B0000000Pvvb/T,Pipeline,0.82,15,0.85,"$78,000.00",0.75,2021-06-09,Mary Eng,005B0000006zLBdIAM,2021-02-13,2021-01-14,2021-01-20,4 Months Ago,RVP Central,2021-03-12,3 Months Ago
25 for Best Case,2021-03-12,Elizabeth Lewis,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Best Case,1,25,1,"$130,000.00",1,2021-06-09,Dean Pierce,,2021-03-13,2021-02-14,2021-02-15,3 Months Ago,Central Sales,2021-03-12,3 Months Ago
15 for Pipeline,2021-05-10,Beth Malone,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Pipeline,1,15,1,"$78,000.00",1,2021-06-09,Gary Hill,,2021-01-13,2020-12-14,2020-12-30,5 Months Ago,West Sales,2021-05-10,1 Month Ago
80 for Closed Erica,2021-04-09,Oscar Anthony,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Commit,1,80,1,"$500,000.00",1,2021-06-09,Brian Chandler,,2021-05-13,2021-04-14,2021-04-17,1 Month Ago,East Sales,2021-04-09,2 Months Ago
85 for Closed,2021-06-09,Devin Washington,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,1,85,1,"$442,000.00",1,2021-06-09,Brian Chandler,,2021-04-13,2021-03-14,2021-04-11,2 Months Ago,East Sales,2021-06-09,Today
25 for Best Case,2021-03-12,Amy Johnson,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Best Case,1,25,1,"$130,000.00",1,2021-06-09,Gary Hill,,2021-03-13,2021-02-14,2021-03-01,3 Months Ago,West Sales,2021-03-12,3 Months Ago
15 for Pipeline,2021-04-09,Lucas Baxter,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Pipeline,1,15,1,"$78,000.00",1,2021-06-09,Brian Chandler,,2021-06-13,2021-05-14,2021-06-09,Current Month,East Sales,2021-04-09,2 Months Ago
15 for Pipeline,2021-06-09,Jeremiah Ballard,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,1,15,1,"$78,000.00",1,2021-06-09,Brian Chandler,,2021-02-13,2021-01-14,2021-01-29,4 Months Ago,East Sales,2021-06-09,Today
63 for Commit,2021-05-10,Oscar Anthony,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Commit,1,63,1,"$327,600.00",1,2021-06-09,Brian Chandler,,2021-04-13,2021-03-14,2021-03-29,2 Months Ago,East Sales,2021-05-10,1 Month Ago
25 for Best Case,2021-05-10,Nicole Bowers,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Commit,1,25,1,"$130,000.00",1,2021-06-09,Dean Pierce,,2021-01-13,2020-12-14,2020-12-30,5 Months Ago,Central Sales,2021-05-10,1 Month Ago
80 for Closed Erica,2021-04-09,Gary Hill,https://c.gus.content.force.com/profilephoto/729B0000000PvxE/T,Closed,1,80,1,"$500,000.00",1,2021-06-09,Mary Eng,005B0000006zLFqIAM,2021-05-13,2021-04-14,2021-05-11,1 Month Ago,RVP West,2021-04-09,2 Months Ago
15 for Pipeline,2021-06-09,Karen Mccann,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Pipeline,1,15,1,"$78,000.00",1,2021-06-09,Gary Hill,,2021-06-13,2021-05-14,2021-06-09,Current Month,West Sales,2021-06-09,Today
25 for Best Case,2021-03-12,Rebecca Espinoza,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Best Case,1,25,1,"$130,000.00",1,2021-06-09,Gary Hill,,2021-03-13,2021-02-14,2021-02-21,3 Months Ago,West Sales,2021-03-12,3 Months Ago
70 for Closed Erica,2021-06-09,Ebony Ali,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,1,70,1,"$427,000.00",1,2021-06-09,Gary Hill,,2021-01-13,2020-12-14,2020-12-23,5 Months Ago,West Sales,2021-06-09,Today
90 for Closed Erica,2021-04-09,Mary Eng,https://c.gus.content.force.com/profilephoto/729B0000000Pvxj/T,Commit,1,90,1,"$562,500.00",1,2021-06-09,,005B0000006zLGfIAM,2021-05-13,2021-04-14,2021-04-16,1 Month Ago,VP of Sales,2021-04-09,2 Months Ago
25 for Best Case,2021-05-10,Beth Malone,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Best Case,1,25,1,"$130,000.00",1,2021-06-09,Gary Hill,,2021-02-13,2021-01-14,2021-01-27,4 Months Ago,West Sales,2021-05-10,1 Month Ago
15 for Pipeline,2021-03-12,Dean Pierce,https://c.gus.content.force.com/profilephoto/729B0000000IUx9/T,Pipeline,1,15,1,"$78,000.00",1,2021-06-09,Mary Eng,005B0000006zLDrIAM,2021-04-13,2021-03-14,2021-04-13,2 Months Ago,RVP Central,2021-03-12,3 Months Ago
15 for Pipeline,2021-06-09,Erica Fletcher,https://c.gus.content.force.com/profilephoto/729B0000000Pvvb/T,Pipeline,0.82,15,0.85,"$78,000.00",0.75,2021-06-09,Mary Eng,005B0000006zLBdIAM,2021-04-13,2021-03-14,2021-04-10,2 Months Ago,RVP Central,2021-06-09,Today
44 for Commit Erica,2021-05-10,Elizabeth Lewis,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Commit,1,44,1,"$268,400.00",1,2021-06-09,Dean Pierce,,2021-02-13,2021-01-14,2021-02-06,4 Months Ago,Central Sales,2021-05-10,1 Month Ago
25 for Best Case,2021-04-09,Amy Thomas,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Best Case,1,25,1,"$130,000.00",1,2021-06-09,Gary Hill,,2021-03-13,2021-02-14,2021-03-10,3 Months Ago,West Sales,2021-04-09,2 Months Ago
93 for Closed,2021-03-12,Jane Martin,https://c.gus.content.force.com/profilephoto/729B0000000Pvwh/T,Closed,1,93,1,"$483,600.00",1,2021-06-09,Dean Pierce,,2021-06-13,2021-05-14,2021-06-09,Current Month,Central Sales,2021-03-12,3 Months Ago
44 for Commit,2021-04-09,Brian Chandler,https://c.gus.content.force.com/profilephoto/729B0000000Pvwt/T,Commit,1,44,1,"$228,800.00",1,2021-06-09,Mary Eng,005B0000006zLFOIA2,2021-01-13,2020-12-14,2021-01-11,5 Months Ago,RVP East,2021-04-09,2 Months Ago
