"EconomicActivity","Dependants","LOYALTY","Housing","POLICY_ID","NAME","Industry","LeadSource","Education","Relationship","LOCATION_ID","AGE","SocialGrade"
"Unemployed","Three","Bronze","Apartment","PN04-012311","Aimee XIONG","Health","Online","Degree","Divorced","LOC_ID_1010","","C1"
"Self Employed","One","Platinum","Detached","PN04-020959","Arlie A XIONG","Health","Online","Higher Education","Divorced","LOC_ID_1010","","C1"
"Part-Time","Two","Silver","Detached","PN-050249","Elise E XIONG","Manufacturing","Online","Aprenticeship","Married","LOC_ID_1011","","C1"
"Other","One","Bronze","Apartment","PN-099716","Hershel XIONG","Accommodation and Food","Event","Higher Education","Married","LOC_ID_1011","","C2"
"Full-Time","One","Bronze","Apartment","PN01-114707","Marlon XIONG","Professional, Scientific and Technical","Online","Degree","Married","LOC_ID_1011","","AB"
"Full-Time","Two","Bronze","Detached","PN03-079325","August YANG","Retail","Event","Higher Education","Separated","LOC_ID_1011","","C2"
"Unemployed","One","Platinum","Semi-Detached	","PN-004197","Elizebeth YANG","Retail","Refferal","High School","Married","LOC_ID_1012","","DE"
"Full-Time","One","Platinum","Apartment","PN-027988","Jacqueline YANG","Professional, Scientific and Technical","Refferal","High School","Single","LOC_ID_1012","","C1"
"Full-Time","Three","Platinum","Detached","PN-046246","Keenan YANG","Retail","Online","High School","Separated","LOC_ID_1012","","C2"
"Part-Time","One","Platinum","Apartment","PN-102379","Moriah M YANG","Education","Event","Degree","Separated","LOC_ID_1012","","C1"
"Full-Time","Two","Platinum","Detached","PN-104942","Natalya t YANG","Accommodation and Food","Online","High School","Single","LOC_ID_1012","","DE"
"Full-Time","One","Gold","Terraces","PN01-008757","Russel R YANG","Health","Refferal","Degree","Single","LOC_ID_1012","","C1"
"Full-Time","Four","Gold","Detached","PN01-050414","Williams YANG","Professional, Scientific and Technical","Refferal","Degree","Widowed","LOC_ID_1012","","AB"
"Full-Time","One","Silver","Detached","PN02-006630","Ernestina E YU","Professional, Scientific and Technical","Retail","Higher Education","Separated","LOC_ID_1012","","AB"
"Full-Time","Two","Gold","Terraces","PN02-054828","Lera YU","Health","Event","Degree","Single","LOC_ID_1012","","C2"
"Full-Time","Two","Silver","Apartment","PN02-086159","Markita YU","Education","Event","Degree","Divorced","LOC_ID_1012","","C1"
"Full-Time","One","Gold","Apartment","PN02-091580","Mattie YU","Accommodation and Food","Online","High School","Single","LOC_ID_1012","","C2"
"Full-Time","Two","Platinum","Terraces","PN02-122562","Ninfa YU","Public Administration and Defence","Refferal","Degree","Married","LOC_ID_1012","","C2"
"Self Employed","One","Silver","Apartment","PN03-000867","Otto O YU","Public Administration and Defence","Online","High School","Married","LOC_ID_1012","","DE"
"Self Employed","One","Bronze","Apartment","PN03-010335","Rudolph YU","Professional, Scientific and Technical","Online","Degree","Married","LOC_ID_1012","","AB"
"Full-Time","One","Gold","Terraces","PN03-061137","Aisha A ZHANG","Health","Refferal","Degree","Single","LOC_ID_1012","","C1"
"Full-Time","One","Gold","Terraces","PN03-101219","Crystle C ZHANG","Retail","Online","Higher Education","Married","LOC_ID_1012","","C2"
"Retired","Two","Platinum","Detached","PN04-031168","Jesus ZHANG","Health","Online","Degree","Widowed","LOC_ID_1012","","C2"
"Part-Time","Two","Platinum","Detached","PN-109876","Rosia R ZHANG","Professional, Scientific and Technical","Online","Degree","Single","LOC_ID_1013","","AB"
"Full-Time","Zero","Bronze","Apartment","PN01-030036","Virgen V ZHANG","Professional, Scientific and Technical","Event","Degree","Single","LOC_ID_1013","","AB"
"Full-Time","Three","Silver","Detached","PN01-078365","Carylon ANDREWS","Professional, Scientific and Technical","Online","Degree","Married","LOC_ID_1013","","AB"
"Retired","One","Platinum","Terraces","PN01-088559","Concha C ANDREWS","Transportation","Event","Aprenticeship","Divorced","LOC_ID_1013","","DE"
"Part-Time","Two","Silver","Terraces","PN01-120107","Dottie ANDREWS","Accommodation and Food","Event","Higher Education","Married","LOC_ID_1013","","C2"
"Full-Time","One","Bronze","Terraces","PN01-128356","Geoffrey ANDREWS","Professional, Scientific and Technical","Online","Degree","Divorced","LOC_ID_1013","","C1"
"Retired","One","Platinum","Terraces","PN02-052748","Karl ANDREWS","Public Administration and Defence","Online","Other","Married","LOC_ID_1013","","C1"
"Full-Time","One","Platinum","Detached","PN02-124746","Nadene ANDREWS","Retail","Online","High School","Married","LOC_ID_1013","","C2"
"Part-Time","One","Platinum","Terraces","PN04-013324","Corrina r ARMSTRONG","Health","Retail","Degree","Married","LOC_ID_1013","","C1"
"Retired","One","Silver","Detached","PN01-073707","Krysta K ARMSTRONG","Health","Refferal","Degree","Divorced","LOC_ID_1014","","C2"
"Retired","Four","Silver","Detached","PN02-074183","Milagro ARMSTRONG","Transportation","Online","High School","Single","LOC_ID_1014","","C2"
"Retired","One","Bronze","Terraces","PN03-013331","Noemi ARMSTRONG","Public Administration and Defence","Online","Degree","Single","LOC_ID_1014","","AB"
"Self Employed","One","Platinum","Apartment","PN03-093366","Shaunna ARMSTRONG","Education","Online","High School","Married","LOC_ID_1014","","C2"
"Full-Time","One","Silver","Semi-Detached	","PN-002988","Violette V ARMSTRONG","Retail","Event","High School","Married","LOC_ID_1015","","DE"
"Self Employed","One","Bronze","Detached","PN-105873","Jenee ASHLEY","Manufacturing","Refferal","Higher Education","Single","LOC_ID_1015","","C1"
"Part-Time","One","Platinum","Terraces","PN01-079555","Rivka R ASHLEY","Transportation","Refferal","High School","Married","LOC_ID_1015","","DE"
"Full-Time","One","Platinum","Semi-Detached	","PN01-123670","Vincenzo ASHLEY","Professional, Scientific and Technical","Online","Higher Education","Single","LOC_ID_1015","","AB"
"Full-Time Student","Two","Gold","Terraces","PN02-024663","Christian C BALDWIN","Public Administration and Defence","Refferal","Aprenticeship","Single","LOC_ID_1015","","DE"
"Full-Time","One","Gold","Semi-Detached	","PN02-026734","Clementine C BALDWIN","Professional, Scientific and Technical","Refferal","Aprenticeship","Divorced","LOC_ID_1015","","C1"
"Part-Time","Two","Gold","Semi-Detached	","PN02-085477","Harvey BALDWIN","Education","Refferal","Aprenticeship","Divorced","LOC_ID_1015","","C1"
"Self Employed","Two","Bronze","Semi-Detached	","PN02-117653","Kareen BALDWIN","Accommodation and Food","Event","Other","Single","LOC_ID_1015","","C1"
"Full-Time Student","One","Silver","Terraces","PN03-003383","Lashawna BALDWIN","Manufacturing","Online","Aprenticeship","Single","LOC_ID_1015","","C1"
"Full-Time","Four","Bronze","Apartment","PN03-031573","Neva  BALDWIN","Retail","Online","High School","Single","LOC_ID_1015","","DE"
"Full-Time Student","One","Platinum","Detached","PN03-076451","Shanell BALDWIN","Transportation","Refferal","Other","Divorced","LOC_ID_1015","","C2"
"Part-Time","One","Bronze","Semi-Detached	","PN04-006108","Billye BALL","Professional, Scientific and Technical","Online","Degree","Single","LOC_ID_1015","","AB"
"Full-Time","One","Platinum","Terraces","PN04-026894","Darwin BALL","Accommodation and Food","Online","High School","Single","LOC_ID_1015","","C2"
"Retired","Two","Platinum","Semi-Detached	","PN-054072","Jesusita BALL","Professional, Scientific and Technical","Online","Degree","Widowed","LOC_ID_1016","","AB"
"Full-Time","One","Platinum","Semi-Detached	","PN-082262","Lawerence BALL","Energy Supply","Retail","Higher Education","Single","LOC_ID_1016","","C1"
"Full-Time","One","Gold","Apartment","PN-127739","Marianna M BALL","Retail","Online","High School","Married","LOC_ID_1016","","DE"
"Retired","One","Platinum","Detached","PN01-005680","Melisa M BALL","Public Administration and Defence","Event","Aprenticeship","Separated","LOC_ID_1016","","DE"
"Full-Time","One","Bronze","Detached","PN01-115940","Xenia BALL","Retail","Online","High School","Single","LOC_ID_1016","","DE"
"Other","One","Bronze","Apartment","PN02-022212","Carolynn BANKS","Transportation","Online","Degree","Married","LOC_ID_1016","","C2"
"Retired","One","Bronze","Apartment","PN02-121089","Hayley BANKS","Professional, Scientific and Technical","Online","Degree","Divorced","LOC_ID_1016","","AB"
"Full-Time","Two","Gold","Detached","PN03-029849","Korey K BANKS","Retail","Online","High School","Single","LOC_ID_1016","","C2"
"Self Employed","Two","Gold","Apartment","PN03-068441","Marisha M BANKS","Manufacturing","Online","Higher Education","Single","LOC_ID_1016","","C1"
"Other","Zero","Bronze","Detached","PN03-088248","Mindy BANKS","Education","Online","Degree","Single","LOC_ID_1016","","C2"
"Unemployed","One","Platinum","Detached","PN03-097733","Nichol BANKS","Health","Refferal","Degree","Married","LOC_ID_1016","","C2"
"Self Employed","Four","Silver","Apartment","PN04-012328","Shelly l BANKS","Public Administration and Defence","Online","Aprenticeship","Married","LOC_ID_1016","","AB"
"Full-Time","Three","Platinum","Apartment","PN04-028247","Theron BANKS","Water Supply","Online","Aprenticeship","Single","LOC_ID_1016","","C1"
"Part-Time","One","Gold","Terraces","PN-041952","Vonnie BANKS","Transportation","Online","Degree","Single","LOC_ID_1017","","DE"
"Retired","One","Bronze","Detached","PN03-007077","Emelina BARBER","Transportation","Online","High School","Single","LOC_ID_1017","","C2"
"Full-Time","One","Silver","Apartment","PN03-044109","Ferdinand BARBER","Retail","Refferal","Higher Education","Separated","LOC_ID_1017","","C2"
"Unemployed","One","Platinum","Apartment","PN04-014542","Janise BARBER","Construction","Refferal","Aprenticeship","Single","LOC_ID_1017","","C1"
"Full-Time","One","Platinum","Apartment","PN-003146","Katelyn BARBER","Health","Online","Degree","Married","LOC_ID_1018","","C1"
"Part-Time","One","Gold","Semi-Detached	","PN-029283","Margene M BARBER","Manufacturing","Retail","Aprenticeship","Single","LOC_ID_1018","","DE"
"Full-Time","Two","Silver","Semi-Detached	","PN-084355","Setsuko BARBER","Health","Online","Degree","Married","LOC_ID_1018","","C1"
"Retired","One","Platinum","Apartment","PN01-092739","Erline E BARRY","Transportation","Event","Other","Same Sex","LOC_ID_1018","","DE"
"Full-Time","One","Silver","Semi-Detached	","PN02-022869","Laure BARRY","Public Administration and Defence","Online","High School","Single","LOC_ID_1018","","AB"
"Unemployed","Three","Platinum","Terraces","PN03-000323","Sherlyn S BARRY","Health","Online","Degree","Single","LOC_ID_1018","","C2"
"Part-Time","One","Bronze","Apartment","PN03-029283","Anitra A BARTLETT","Retail","Online","High School","Divorced","LOC_ID_1018","","C2"
"Full-Time","One","Platinum","Terraces","PN03-031409","Benito B BARTLETT","Accommodation and Food","Retail","Higher Education","Single","LOC_ID_1018","","C2"
"Full-Time","One","Platinum","Apartment","PN03-071689","Clayton C BARTLETT","Professional, Scientific and Technical","Refferal","Degree","Married","LOC_ID_1018","","AB"
"Part-Time","Two","Silver","Terraces","PN-027060","Melisa BARTLETT","Public Administration and Defence","Online","Degree","Single","LOC_ID_1019","","DE"
"Full-Time","One","Bronze","Apartment","PN-070645","Olevia O BARTLETT","Public Administration and Defence","Online","Other","Single","LOC_ID_1019","","C1"
"Full-Time","Two","Bronze","Terraces","PN-122599","Royal BARTLETT","Accommodation and Food","Event","Higher Education","Married","LOC_ID_1019","","C2"
"Full-Time","Four","Silver","Detached","PN01-059736","Timothy BARTLETT","Accommodation and Food","Retail","High School","Single","LOC_ID_1019","","DE"
"Full-Time","One","Silver","Apartment","PN01-099378","Violeta o BARTLETT","Education","Refferal","Degree","Married","LOC_ID_1019","","C1"
"Self Employed","One","Platinum","Apartment","PN01-107558","Abe BEAN","Health","Online","Degree","Single","LOC_ID_1019","","AB"
"Full-Time","One","Bronze","Semi-Detached	","PN02-007228","Angila BEAN","Accommodation and Food","Online","Higher Education","Single","LOC_ID_1019","","DE"
"Self Employed","One","Platinum","Apartment","PN04-008713","Janice BEAN","Retail","Online","High School","Single","LOC_ID_1019","","DE"
"Unemployed","One","Bronze","Apartment","PN04-012677","Jeanett BEAN","Health","Online","Higher Education","Single","LOC_ID_1019","","C2"
"Full-Time","One","Platinum","Apartment","PN-000475","Josette BEAN","Accommodation and Food","Online","High School","Single","LOC_ID_102","","DE"
"Part-Time","One","Platinum","Terraces","PN-005771","Kareen r BEAN","Public Administration and Defence","Online","Higher Education","Married","LOC_ID_102","","AB"
"Part-Time","One","Platinum","Terraces","PN-072849","Leigha BEAN","Health","Refferal","Degree","Single","LOC_ID_102","","C2"
"Part-Time","One","Silver","Semi-Detached	","PN01-003698","Maple BEAN","Health","Event","Higher Education","Single","LOC_ID_102","","C1"
"Part-Time","Three","Gold","Apartment","PN01-097237","Olevia e BEAN","Transportation","Event","Degree","Single","LOC_ID_102","","C2"
"Part-Time","One","Bronze","Apartment","PN01-123507","Rema BEAN","Health","Online","Degree","Single","LOC_ID_102","","C2"
"Retired","Four","Silver","Apartment","PN03-003698","Yoshie Y BEAN","Transportation","Online","Degree","Widowed","LOC_ID_102","","C2"
"Self Employed","Two","Platinum","Detached","PN03-083543","Arletha BEASLEY","Public Administration and Defence","Online","Other","Single","LOC_ID_102","","C1"
"Self Employed","One","Bronze","Semi-Detached	","PN-041115","Flo BEASLEY","Professional, Scientific and Technical","Event","Degree","Divorced","LOC_ID_1020","","AB"
"Full-Time","One","Gold","Apartment","PN-091335","Lawerence BEASLEY","Manufacturing","Refferal","Higher Education","Single","LOC_ID_1020","","AB"
"Full-Time","One","Platinum","Detached","PN-113478","Lourdes BEASLEY","Construction","Online","Degree","Married","LOC_ID_1020","","C2"
"Full-Time Student","One","Gold","Apartment","PN-120223","Mallie BEASLEY","Retail","Event","Higher Education","Widowed","LOC_ID_1020","","DE"
"Other","Zero","Bronze","Apartment","PN01-009115","Natalya N BEASLEY","Professional, Scientific and Technical","Retail","Degree","Single","LOC_ID_1020","","AB"
"Full-Time","Four","Gold","Apartment","PN01-053243","Roosevelt BEASLEY","Education","Online","Degree","Married","LOC_ID_1020","","C2"
"Other","One","Platinum","Detached","PN01-067535","Shanice BEASLEY","Manufacturing","Online","Aprenticeship","Divorced","LOC_ID_1020","","DE"
"Retired","One","Silver","Detached","PN01-127223","Becky BEIL","Professional, Scientific and Technical","Online","High School","Single","LOC_ID_1020","","AB"
"Unemployed","One","Platinum","Detached","PN02-053949","Edwardo BEIL","Professional, Scientific and Technical","Refferal","Degree","Single","LOC_ID_1020","","AB"
"Full-Time","One","Silver","Terraces","PN02-056251","Elinore E BEIL","Manufacturing","Online","Higher Education","Separated","LOC_ID_1020","","DE"
"Full-Time","One","Silver","Apartment","PN02-116813","Jenae J BEIL","Health","Online","Higher Education","Married","LOC_ID_1020","","C2"
"Full-Time","Four","Platinum","Apartment","PN03-040167","Marceline M BEIL","Accommodation and Food","Online","High School","Single","LOC_ID_1020","","C2"
"Unemployed","Two","Bronze","Terraces","PN03-040738","Margart BEIL","Transportation","Online","High School","Single","LOC_ID_1020","","DE"
"Self Employed","One","Silver","Apartment","PN03-040783","Margene BEIL","Health","Refferal","Degree","Single","LOC_ID_1020","","C1"
"Part-Time","Two","Gold","Apartment","PN03-110658","Santiago S BEIL","Education","Online","Higher Education","Single","LOC_ID_1020","","C2"
"Part-Time","Three","Gold","Apartment","PN03-124268","Twila BEIL","Retail","Refferal","High School","Divorced","LOC_ID_1020","","C2"
